id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
1574,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1575,HD 105779 b,180,0.64 Jupiters,8.65,2022
1576,HD 106252 b,125,10 Jupiters,7.41,2002
1577,HD 106270 b,306,11.4 Jupiters,7.58,2011
1578,HD 106315 b,357,12.6 Earths,8.951,2017
1579,HD 106315 c,357,15.2 Earths,8.951,2017
1580,HD 10647 b,57,0.94 Jupiters,5.52,2006
1581,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1582,HD 106906 b,336,11 Jupiters,7.8,2013
1583,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1584,HD 107148 b,161,0.21 Jupiters,8.01,2005
1585,HD 107148 c,161,19.89606 Earths,8.01,2021
1586,HD 108147 b,127,0.261 Jupiters,6.99,2002
1587,HD 108236 b,211,3.24 Earths,9.25,2020
1588,HD 108236 c,211,4.94 Earths,9.25,2020
1589,HD 108236 d,211,6.98 Earths,9.25,2020
1590,HD 108236 e,211,9.71 Earths,9.25,2020
1591,HD 108236 f,211,4.72 Earths,9.25,2021
1592,HD 108341 b,160,2.25 Jupiters,9.38,2014
1593,HD 108863 b,537,2.414 Jupiters,7.71,2011
1594,HD 108874 b,194,1.42 Jupiters,8.76,2002
1595,HD 108874 c,194,0.99 Jupiters,8.76,2005
1596,HD 109246 b,221,0.86 Jupiters,8.751,2010
1597,HD 109271 b,182,17.162 Earths,8.04,2013
1598,HD 109271 c,182,24.154 Earths,8.04,2013
1599,HD 109286 b,181,2.99 Jupiters,8.78,2021
1600,HD 105779 b,180,0.64 Jupiters,8.65,2022
1601,HD 106252 b,125,10 Jupiters,7.41,2002
1602,HD 106270 b,306,11.4 Jupiters,7.58,2011
1603,HD 106315 b,357,12.6 Earths,8.951,2017
1604,HD 106315 c,357,15.2 Earths,8.951,2017
1605,HD 10647 b,57,0.94 Jupiters,5.52,2006
1606,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1607,HD 106906 b,336,11 Jupiters,7.8,2013
1608,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1609,HD 107148 b,161,0.21 Jupiters,8.01,2005
1610,HD 107148 c,161,19.89606 Earths,8.01,2021
1611,HD 108147 b,127,0.261 Jupiters,6.99,2002
1612,HD 108236 b,211,3.24 Earths,9.25,2020
1613,HD 108236 c,211,4.94 Earths,9.25,2020
1614,HD 108236 d,211,6.98 Earths,9.25,2020
1615,HD 108236 e,211,9.71 Earths,9.25,2020
1616,HD 108236 f,211,4.72 Earths,9.25,2021
1617,HD 108341 b,160,2.25 Jupiters,9.38,2014
1618,HD 108863 b,537,2.414 Jupiters,7.71,2011
1619,HD 108874 b,194,1.42 Jupiters,8.76,2002
1620,HD 108874 c,194,0.99 Jupiters,8.76,2005
1621,HD 109246 b,221,0.86 Jupiters,8.751,2010
1622,HD 109271 b,182,17.162 Earths,8.04,2013
1623,HD 109271 c,182,24.154 Earths,8.04,2013
1624,HD 109286 b,181,2.99 Jupiters,8.78,2021
1625,HD 105779 b,180,0.64 Jupiters,8.65,2022
1626,HD 106252 b,125,10 Jupiters,7.41,2002
1627,HD 106270 b,306,11.4 Jupiters,7.58,2011
1628,HD 106315 b,357,12.6 Earths,8.951,2017
1629,HD 106315 c,357,15.2 Earths,8.951,2017
1630,HD 10647 b,57,0.94 Jupiters,5.52,2006
1631,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1632,HD 106906 b,336,11 Jupiters,7.8,2013
1633,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1634,HD 107148 b,161,0.21 Jupiters,8.01,2005
1635,HD 107148 c,161,19.89606 Earths,8.01,2021
1636,HD 108147 b,127,0.261 Jupiters,6.99,2002
1637,HD 108236 b,211,3.24 Earths,9.25,2020
1638,HD 108236 c,211,4.94 Earths,9.25,2020
1639,HD 108236 d,211,6.98 Earths,9.25,2020
1640,HD 108236 e,211,9.71 Earths,9.25,2020
1641,HD 108236 f,211,4.72 Earths,9.25,2021
1642,HD 108341 b,160,2.25 Jupiters,9.38,2014
1643,HD 108863 b,537,2.414 Jupiters,7.71,2011
1644,HD 108874 b,194,1.42 Jupiters,8.76,2002
1645,HD 108874 c,194,0.99 Jupiters,8.76,2005
1646,HD 109246 b,221,0.86 Jupiters,8.751,2010
1647,HD 109271 b,182,17.162 Earths,8.04,2013
1648,HD 109271 c,182,24.154 Earths,8.04,2013
1649,HD 109286 b,181,2.99 Jupiters,8.78,2021
1650,HD 105779 b,180,0.64 Jupiters,8.65,2022
1651,HD 106252 b,125,10 Jupiters,7.41,2002
1652,HD 106270 b,306,11.4 Jupiters,7.58,2011
1653,HD 106315 b,357,12.6 Earths,8.951,2017
1654,HD 106315 c,357,15.2 Earths,8.951,2017
1655,HD 10647 b,57,0.94 Jupiters,5.52,2006
1656,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1657,HD 106906 b,336,11 Jupiters,7.8,2013
1658,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1659,HD 107148 b,161,0.21 Jupiters,8.01,2005
1660,HD 107148 c,161,19.89606 Earths,8.01,2021
1661,HD 108147 b,127,0.261 Jupiters,6.99,2002
1662,HD 108236 b,211,3.24 Earths,9.25,2020
1663,HD 108236 c,211,4.94 Earths,9.25,2020
1664,HD 108236 d,211,6.98 Earths,9.25,2020
1665,HD 108236 e,211,9.71 Earths,9.25,2020
1666,HD 108236 f,211,4.72 Earths,9.25,2021
1667,HD 108341 b,160,2.25 Jupiters,9.38,2014
1668,HD 108863 b,537,2.414 Jupiters,7.71,2011
1669,HD 108874 b,194,1.42 Jupiters,8.76,2002
1670,HD 108874 c,194,0.99 Jupiters,8.76,2005
1671,HD 109246 b,221,0.86 Jupiters,8.751,2010
1672,HD 109271 b,182,17.162 Earths,8.04,2013
1673,HD 109271 c,182,24.154 Earths,8.04,2013
1674,HD 109286 b,181,2.99 Jupiters,8.78,2021
1675,HD 105779 b,180,0.64 Jupiters,8.65,2022
1676,HD 106252 b,125,10 Jupiters,7.41,2002
1677,HD 106270 b,306,11.4 Jupiters,7.58,2011
1678,HD 106315 b,357,12.6 Earths,8.951,2017
1679,HD 106315 c,357,15.2 Earths,8.951,2017
1680,HD 10647 b,57,0.94 Jupiters,5.52,2006
1681,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1682,HD 106906 b,336,11 Jupiters,7.8,2013
1683,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1684,HD 107148 b,161,0.21 Jupiters,8.01,2005
1685,HD 107148 c,161,19.89606 Earths,8.01,2021
1686,HD 108147 b,127,0.261 Jupiters,6.99,2002
1687,HD 108236 b,211,3.24 Earths,9.25,2020
1688,HD 108236 c,211,4.94 Earths,9.25,2020
1689,HD 108236 d,211,6.98 Earths,9.25,2020
1690,HD 108236 e,211,9.71 Earths,9.25,2020
1691,HD 108236 f,211,4.72 Earths,9.25,2021
1692,HD 108341 b,160,2.25 Jupiters,9.38,2014
1693,HD 108863 b,537,2.414 Jupiters,7.71,2011
1694,HD 108874 b,194,1.42 Jupiters,8.76,2002
1695,HD 108874 c,194,0.99 Jupiters,8.76,2005
1696,HD 109246 b,221,0.86 Jupiters,8.751,2010
1697,HD 109271 b,182,17.162 Earths,8.04,2013
1698,HD 109271 c,182,24.154 Earths,8.04,2013
1699,HD 109286 b,181,2.99 Jupiters,8.78,2021
1700,HD 105779 b,180,0.64 Jupiters,8.65,2022
1701,HD 106252 b,125,10 Jupiters,7.41,2002
1702,HD 106270 b,306,11.4 Jupiters,7.58,2011
1703,HD 106315 b,357,12.6 Earths,8.951,2017
1704,HD 106315 c,357,15.2 Earths,8.951,2017
1705,HD 10647 b,57,0.94 Jupiters,5.52,2006
1706,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1707,HD 106906 b,336,11 Jupiters,7.8,2013
1708,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1709,HD 107148 b,161,0.21 Jupiters,8.01,2005
1710,HD 107148 c,161,19.89606 Earths,8.01,2021
1711,HD 108147 b,127,0.261 Jupiters,6.99,2002
1712,HD 108236 b,211,3.24 Earths,9.25,2020
1713,HD 108236 c,211,4.94 Earths,9.25,2020
1714,HD 108236 d,211,6.98 Earths,9.25,2020
1715,HD 108236 e,211,9.71 Earths,9.25,2020
1716,HD 108236 f,211,4.72 Earths,9.25,2021
1717,HD 108341 b,160,2.25 Jupiters,9.38,2014
1718,HD 108863 b,537,2.414 Jupiters,7.71,2011
1719,HD 108874 b,194,1.42 Jupiters,8.76,2002
1720,HD 108874 c,194,0.99 Jupiters,8.76,2005
1721,HD 109246 b,221,0.86 Jupiters,8.751,2010
1722,HD 109271 b,182,17.162 Earths,8.04,2013
1723,HD 109271 c,182,24.154 Earths,8.04,2013
1724,HD 109286 b,181,2.99 Jupiters,8.78,2021
1725,HD 105779 b,180,0.64 Jupiters,8.65,2022
1726,HD 106252 b,125,10 Jupiters,7.41,2002
1727,HD 106270 b,306,11.4 Jupiters,7.58,2011
1728,HD 106315 b,357,12.6 Earths,8.951,2017
1729,HD 106315 c,357,15.2 Earths,8.951,2017
1730,HD 10647 b,57,0.94 Jupiters,5.52,2006
1731,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1732,HD 106906 b,336,11 Jupiters,7.8,2013
1733,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1734,HD 107148 b,161,0.21 Jupiters,8.01,2005
1735,HD 107148 c,161,19.89606 Earths,8.01,2021
1736,HD 108147 b,127,0.261 Jupiters,6.99,2002
1737,HD 108236 b,211,3.24 Earths,9.25,2020
1738,HD 108236 c,211,4.94 Earths,9.25,2020
1739,HD 108236 d,211,6.98 Earths,9.25,2020
1740,HD 108236 e,211,9.71 Earths,9.25,2020
1741,HD 108236 f,211,4.72 Earths,9.25,2021
1742,HD 108341 b,160,2.25 Jupiters,9.38,2014
1743,HD 108863 b,537,2.414 Jupiters,7.71,2011
1744,HD 108874 b,194,1.42 Jupiters,8.76,2002
1745,HD 108874 c,194,0.99 Jupiters,8.76,2005
1746,HD 109246 b,221,0.86 Jupiters,8.751,2010
1747,HD 109271 b,182,17.162 Earths,8.04,2013
1748,HD 109271 c,182,24.154 Earths,8.04,2013
1749,HD 109286 b,181,2.99 Jupiters,8.78,2021
1750,HD 105779 b,180,0.64 Jupiters,8.65,2022
1751,HD 106252 b,125,10 Jupiters,7.41,2002
1752,HD 106270 b,306,11.4 Jupiters,7.58,2011
1753,HD 106315 b,357,12.6 Earths,8.951,2017
1754,HD 106315 c,357,15.2 Earths,8.951,2017
1755,HD 10647 b,57,0.94 Jupiters,5.52,2006
1756,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1757,HD 106906 b,336,11 Jupiters,7.8,2013
1758,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1759,HD 107148 b,161,0.21 Jupiters,8.01,2005
1760,HD 107148 c,161,19.89606 Earths,8.01,2021
1761,HD 108147 b,127,0.261 Jupiters,6.99,2002
1762,HD 108236 b,211,3.24 Earths,9.25,2020
1763,HD 108236 c,211,4.94 Earths,9.25,2020
1764,HD 108236 d,211,6.98 Earths,9.25,2020
1765,HD 108236 e,211,9.71 Earths,9.25,2020
1766,HD 108236 f,211,4.72 Earths,9.25,2021
1767,HD 108341 b,160,2.25 Jupiters,9.38,2014
1768,HD 108863 b,537,2.414 Jupiters,7.71,2011
1769,HD 108874 b,194,1.42 Jupiters,8.76,2002
1770,HD 108874 c,194,0.99 Jupiters,8.76,2005
1771,HD 109246 b,221,0.86 Jupiters,8.751,2010
1772,HD 109271 b,182,17.162 Earths,8.04,2013
1773,HD 109271 c,182,24.154 Earths,8.04,2013
1774,HD 109286 b,181,2.99 Jupiters,8.78,2021
1775,HD 105779 b,180,0.64 Jupiters,8.65,2022
1776,HD 106252 b,125,10 Jupiters,7.41,2002
1777,HD 106270 b,306,11.4 Jupiters,7.58,2011
1778,HD 106315 b,357,12.6 Earths,8.951,2017
1779,HD 106315 c,357,15.2 Earths,8.951,2017
1780,HD 10647 b,57,0.94 Jupiters,5.52,2006
1781,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1782,HD 106906 b,336,11 Jupiters,7.8,2013
1783,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1784,HD 107148 b,161,0.21 Jupiters,8.01,2005
1785,HD 107148 c,161,19.89606 Earths,8.01,2021
1786,HD 108147 b,127,0.261 Jupiters,6.99,2002
1787,HD 108236 b,211,3.24 Earths,9.25,2020
1788,HD 108236 c,211,4.94 Earths,9.25,2020
1789,HD 108236 d,211,6.98 Earths,9.25,2020
1790,HD 108236 e,211,9.71 Earths,9.25,2020
1791,HD 108236 f,211,4.72 Earths,9.25,2021
1792,HD 108341 b,160,2.25 Jupiters,9.38,2014
1793,HD 108863 b,537,2.414 Jupiters,7.71,2011
1794,HD 108874 b,194,1.42 Jupiters,8.76,2002
1795,HD 108874 c,194,0.99 Jupiters,8.76,2005
1796,HD 109246 b,221,0.86 Jupiters,8.751,2010
1797,HD 109271 b,182,17.162 Earths,8.04,2013
1798,HD 109271 c,182,24.154 Earths,8.04,2013
1799,HD 109286 b,181,2.99 Jupiters,8.78,2021
1800,HD 105779 b,180,0.64 Jupiters,8.65,2022
1801,HD 106252 b,125,10 Jupiters,7.41,2002
1802,HD 106270 b,306,11.4 Jupiters,7.58,2011
1803,HD 106315 b,357,12.6 Earths,8.951,2017
1804,HD 106315 c,357,15.2 Earths,8.951,2017
1805,HD 10647 b,57,0.94 Jupiters,5.52,2006
1806,HD 106515 A b,111,9.518 Jupiters,7.971,2012
1807,HD 106906 b,336,11 Jupiters,7.8,2013
1808,HD 10697 b,108,5.743 Jupiters,6.28262,1999
1809,HD 107148 b,161,0.21 Jupiters,8.01,2005
1810,HD 107148 c,161,19.89606 Earths,8.01,2021
1811,HD 108147 b,127,0.261 Jupiters,6.99,2002
1812,HD 108236 b,211,3.24 Earths,9.25,2020
1813,HD 108236 c,211,4.94 Earths,9.25,2020
1814,HD 108236 d,211,6.98 Earths,9.25,2020
1815,HD 108236 e,211,9.71 Earths,9.25,2020
1816,HD 108236 f,211,4.72 Earths,9.25,2021
1817,HD 108341 b,160,2.25 Jupiters,9.38,2014
1818,HD 108863 b,537,2.414 Jupiters,7.71,2011
1819,HD 108874 b,194,1.42 Jupiters,8.76,2002
1820,HD 108874 c,194,0.99 Jupiters,8.76,2005
1821,HD 109246 b,221,0.86 Jupiters,8.751,2010
1822,HD 109271 b,182,17.162 Earths,8.04,2013
1823,HD 109271 c,182,24.154 Earths,8.04,2013
1824,HD 109286 b,181,2.99 Jupiters,8.78,2021
1825,HD 109749 b,206,0.27 Jupiters,8.08,2005
1826,HD 10975 b,380,0.45 Jupiters,5.94188,2021
1827,HD 109833 b,260,8.69 Earths,9.29,2022
1828,HD 109833 c,260,7.22 Earths,9.29,2022
1829,HD 109988 b,139,21.821 Jupiters,8.9,2022
1830,HD 110014 b,329,11.09 Jupiters,4.64597,2009
1831,HD 110082 b,343,10.3 Earths,9.23,2021
1832,HD 110113 b,347,4.55 Earths,10.09,2021
1833,HD 110113 c,347,10.5 Earths,10.09,2021
1834,HD 110537 b,147,27.099 Jupiters,7.83,2022
1835,HD 11112 b,145,8.176 Jupiters,7.13,2022
1836,HD 111232 b,94,7.965 Jupiters,7.59,2003
1837,HD 111232 c,94,18.063 Jupiters,7.59,2022
1838,HD 111591 b,372,4.4 Jupiters,6.417,2017
1839,HD 111998 b,108,4.51 Jupiters,6.11006,2016
1840,HD 112640 b,1055,5 Jupiters,6.53649,2020
1841,HD 113337 b,118,3.259 Jupiters,6.02078,2013
1842,HD 113337 c,118,19.821 Jupiters,6.02078,2022
1843,HD 11343 c,506,0.804 Jupiters,7.88,2022
1844,HD 113538 b,53,0.36 Jupiters,9.05,2010
1845,HD 113538 c,53,0.93 Jupiters,9.05,2010
1846,HD 113996 b,379,6.3 Jupiters,4.77044,2017
1847,HD 114082 b,311,8 Jupiters,8.2,2022
1848,HD 114386 b,91,1.14 Jupiters,8.73,2003
1849,HD 114613 b,66,0.357 Jupiters,4.847,2014
1850,HD 109749 b,206,0.27 Jupiters,8.08,2005
1851,HD 10975 b,380,0.45 Jupiters,5.94188,2021
1852,HD 109833 b,260,8.69 Earths,9.29,2022
1853,HD 109833 c,260,7.22 Earths,9.29,2022
1854,HD 109988 b,139,21.821 Jupiters,8.9,2022
1855,HD 110014 b,329,11.09 Jupiters,4.64597,2009
1856,HD 110082 b,343,10.3 Earths,9.23,2021
1857,HD 110113 b,347,4.55 Earths,10.09,2021
1858,HD 110113 c,347,10.5 Earths,10.09,2021
1859,HD 110537 b,147,27.099 Jupiters,7.83,2022
1860,HD 11112 b,145,8.176 Jupiters,7.13,2022
1861,HD 111232 b,94,7.965 Jupiters,7.59,2003
1862,HD 111232 c,94,18.063 Jupiters,7.59,2022
1863,HD 111591 b,372,4.4 Jupiters,6.417,2017
1864,HD 111998 b,108,4.51 Jupiters,6.11006,2016
1865,HD 112640 b,1055,5 Jupiters,6.53649,2020
1866,HD 113337 b,118,3.259 Jupiters,6.02078,2013
1867,HD 113337 c,118,19.821 Jupiters,6.02078,2022
1868,HD 11343 c,506,0.804 Jupiters,7.88,2022
1869,HD 113538 b,53,0.36 Jupiters,9.05,2010
1870,HD 113538 c,53,0.93 Jupiters,9.05,2010
1871,HD 113996 b,379,6.3 Jupiters,4.77044,2017
1872,HD 114082 b,311,8 Jupiters,8.2,2022
1873,HD 114386 b,91,1.14 Jupiters,8.73,2003
1874,HD 114613 b,66,0.357 Jupiters,4.847,2014
1875,HD 109749 b,206,0.27 Jupiters,8.08,2005
1876,HD 10975 b,380,0.45 Jupiters,5.94188,2021
1877,HD 109833 b,260,8.69 Earths,9.29,2022
1878,HD 109833 c,260,7.22 Earths,9.29,2022
1879,HD 109988 b,139,21.821 Jupiters,8.9,2022
1880,HD 110014 b,329,11.09 Jupiters,4.64597,2009
1881,HD 110082 b,343,10.3 Earths,9.23,2021
1882,HD 110113 b,347,4.55 Earths,10.09,2021
1883,HD 110113 c,347,10.5 Earths,10.09,2021
1884,HD 110537 b,147,27.099 Jupiters,7.83,2022
1885,HD 11112 b,145,8.176 Jupiters,7.13,2022
1886,HD 111232 b,94,7.965 Jupiters,7.59,2003
1887,HD 111232 c,94,18.063 Jupiters,7.59,2022
1888,HD 111591 b,372,4.4 Jupiters,6.417,2017
1889,HD 111998 b,108,4.51 Jupiters,6.11006,2016
1890,HD 112640 b,1055,5 Jupiters,6.53649,2020
1891,HD 113337 b,118,3.259 Jupiters,6.02078,2013
1892,HD 113337 c,118,19.821 Jupiters,6.02078,2022
1893,HD 11343 c,506,0.804 Jupiters,7.88,2022
1894,HD 113538 b,53,0.36 Jupiters,9.05,2010
1895,HD 113538 c,53,0.93 Jupiters,9.05,2010
1896,HD 113996 b,379,6.3 Jupiters,4.77044,2017
1897,HD 114082 b,311,8 Jupiters,8.2,2022
1898,HD 114386 b,91,1.14 Jupiters,8.73,2003
1899,HD 114613 b,66,0.357 Jupiters,4.847,2014
1900,HD 109749 b,206,0.27 Jupiters,8.08,2005
1901,HD 10975 b,380,0.45 Jupiters,5.94188,2021
1902,HD 109833 b,260,8.69 Earths,9.29,2022
1903,HD 109833 c,260,7.22 Earths,9.29,2022
1904,HD 109988 b,139,21.821 Jupiters,8.9,2022
1905,HD 110014 b,329,11.09 Jupiters,4.64597,2009
1906,HD 110082 b,343,10.3 Earths,9.23,2021
1907,HD 110113 b,347,4.55 Earths,10.09,2021
1908,HD 110113 c,347,10.5 Earths,10.09,2021
1909,HD 110537 b,147,27.099 Jupiters,7.83,2022
1910,HD 11112 b,145,8.176 Jupiters,7.13,2022
1911,HD 111232 b,94,7.965 Jupiters,7.59,2003
1912,HD 111232 c,94,18.063 Jupiters,7.59,2022
1913,HD 111591 b,372,4.4 Jupiters,6.417,2017
1914,HD 111998 b,108,4.51 Jupiters,6.11006,2016
1915,HD 112640 b,1055,5 Jupiters,6.53649,2020
1916,HD 113337 b,118,3.259 Jupiters,6.02078,2013
1917,HD 113337 c,118,19.821 Jupiters,6.02078,2022
1918,HD 11343 c,506,0.804 Jupiters,7.88,2022
1919,HD 113538 b,53,0.36 Jupiters,9.05,2010
1920,HD 113538 c,53,0.93 Jupiters,9.05,2010
1921,HD 113996 b,379,6.3 Jupiters,4.77044,2017
1922,HD 114082 b,311,8 Jupiters,8.2,2022
1923,HD 114386 b,91,1.14 Jupiters,8.73,2003
1924,HD 114613 b,66,0.357 Jupiters,4.847,2014
1925,HD 114729 b,123,0.825 Jupiters,6.68,2002
1926,HD 114783 b,69,1.1 Jupiters,7.56,2001
1927,HD 114783 c,69,0.611 Jupiters,7.56,2018
1928,HD 11505 b,127,7.899 Jupiters,7.43,2022
1929,HD 11506 b,167,4.88 Jupiters,7.51,2007
1930,HD 11506 c,167,0.369 Jupiters,7.51,2008
1931,HD 11506 d,167,7.383 Jupiters,7.51,2022
1932,HD 115404 A b,36,30.82936 Earths,6.55,2022
1933,HD 115404 A c,36,10.319 Jupiters,6.55,2022
1934,HD 115954 b,286,8.45 Jupiters,8.34,2021
1935,HD 116029 b,402,1.4 Jupiters,7.88,2011
1936,HD 116029 c,402,1.27 Jupiters,7.88,2018
1937,HD 117207 b,106,2.106 Jupiters,7.26,2004
1938,HD 11755 b,767,5.63 Jupiters,6.88269,2015
1939,HD 117618 b,123,0.174 Jupiters,7.17,2004
1940,HD 118203 b,301,2.79 Jupiters,8.05,2005
1941,HD 11964 b,109,0.622 Jupiters,6.41525,2005
1942,HD 11964 c,109,25 Earths,6.41525,2008
1943,HD 11977 b,222,6.54 Jupiters,4.68,2005
1944,HD 120084 b,336,5.762 Jupiters,5.90686,2013
1945,HD 121504 b,136,1.51 Jupiters,7.54,2003
1946,HD 12235 b,104,10.48834 Earths,5.88051,2022
1947,HD 12235 c,104,9.866 Jupiters,5.88051,2022
1948,HD 122562 c,174,0.23 Jupiters,7.659,2022
1949,HD 124330 b,196,0.75 Jupiters,7.88,2021
1950,HD 114729 b,123,0.825 Jupiters,6.68,2002
1951,HD 114783 b,69,1.1 Jupiters,7.56,2001
1952,HD 114783 c,69,0.611 Jupiters,7.56,2018
1953,HD 11505 b,127,7.899 Jupiters,7.43,2022
1954,HD 11506 b,167,4.88 Jupiters,7.51,2007
1955,HD 11506 c,167,0.369 Jupiters,7.51,2008
1956,HD 11506 d,167,7.383 Jupiters,7.51,2022
1957,HD 115404 A b,36,30.82936 Earths,6.55,2022
1958,HD 115404 A c,36,10.319 Jupiters,6.55,2022
1959,HD 115954 b,286,8.45 Jupiters,8.34,2021
1960,HD 116029 b,402,1.4 Jupiters,7.88,2011
1961,HD 116029 c,402,1.27 Jupiters,7.88,2018
1962,HD 117207 b,106,2.106 Jupiters,7.26,2004
1963,HD 11755 b,767,5.63 Jupiters,6.88269,2015
1964,HD 117618 b,123,0.174 Jupiters,7.17,2004
1965,HD 118203 b,301,2.79 Jupiters,8.05,2005
1966,HD 11964 b,109,0.622 Jupiters,6.41525,2005
1967,HD 11964 c,109,25 Earths,6.41525,2008
1968,HD 11977 b,222,6.54 Jupiters,4.68,2005
1969,HD 120084 b,336,5.762 Jupiters,5.90686,2013
1970,HD 121504 b,136,1.51 Jupiters,7.54,2003
1971,HD 12235 b,104,10.48834 Earths,5.88051,2022
1972,HD 12235 c,104,9.866 Jupiters,5.88051,2022
1973,HD 122562 c,174,0.23 Jupiters,7.659,2022
1974,HD 124330 b,196,0.75 Jupiters,7.88,2021
1975,HD 114729 b,123,0.825 Jupiters,6.68,2002
1976,HD 114783 b,69,1.1 Jupiters,7.56,2001
1977,HD 114783 c,69,0.611 Jupiters,7.56,2018
1978,HD 11505 b,127,7.899 Jupiters,7.43,2022
1979,HD 11506 b,167,4.88 Jupiters,7.51,2007
1980,HD 11506 c,167,0.369 Jupiters,7.51,2008
1981,HD 11506 d,167,7.383 Jupiters,7.51,2022
1982,HD 115404 A b,36,30.82936 Earths,6.55,2022
1983,HD 115404 A c,36,10.319 Jupiters,6.55,2022
1984,HD 115954 b,286,8.45 Jupiters,8.34,2021
1985,HD 116029 b,402,1.4 Jupiters,7.88,2011
1986,HD 116029 c,402,1.27 Jupiters,7.88,2018
1987,HD 117207 b,106,2.106 Jupiters,7.26,2004
1988,HD 11755 b,767,5.63 Jupiters,6.88269,2015
1989,HD 117618 b,123,0.174 Jupiters,7.17,2004
1990,HD 118203 b,301,2.79 Jupiters,8.05,2005
1991,HD 11964 b,109,0.622 Jupiters,6.41525,2005
1992,HD 11964 c,109,25 Earths,6.41525,2008
1993,HD 11977 b,222,6.54 Jupiters,4.68,2005
1994,HD 120084 b,336,5.762 Jupiters,5.90686,2013
1995,HD 121504 b,136,1.51 Jupiters,7.54,2003
1996,HD 12235 b,104,10.48834 Earths,5.88051,2022
1997,HD 12235 c,104,9.866 Jupiters,5.88051,2022
1998,HD 122562 c,174,0.23 Jupiters,7.659,2022
1999,HD 124330 b,196,0.75 Jupiters,7.88,2021
2000,HD 12484 b,158,2.98 Jupiters,8.18,2016
2001,HD 125271 b,128,10.904 Jupiters,9.68,2022
2002,HD 125390 b,501,27.204 Jupiters,8.21,2019
2003,HD 125595 b,92,6.3566 Earths,9.03,2009
2004,HD 125612 b,188,2.974 Jupiters,8.31,2007
2005,HD 125612 c,188,15.57359 Earths,8.31,2009
2006,HD 125612 d,188,7.178 Jupiters,8.31,2009
2007,HD 12648 b,594,1.96 Jupiters,6.98656,2015
2008,HD 126525 b,123,0.237 Jupiters,7.85,2018
2009,HD 126614 b,238,0.339 Jupiters,8.81,2009
2010,HD 12661 b,123,2.43 Jupiters,7.43,2000
2011,HD 12661 c,123,1.812 Jupiters,7.43,2002
2012,HD 127506 b,73,27.33324 Earths,8.7,2022
2013,HD 128311 b,53,1.769 Jupiters,7.48,2002
2014,HD 128311 c,53,3.789 Jupiters,7.48,2005
2015,HD 128356 b,85,0.89 Jupiters,8.2411,2016
2016,HD 129445 b,220,2.51 Jupiters,8.8,2009
2017,HD 130322 b,104,1.15 Jupiters,8.04,1999
2018,HD 131496 b,430,1.8 Jupiters,7.8,2011
2019,HD 13167 b,486,3.31 Jupiters,8.34,2018
2020,HD 13189 b,1624,10.95 Jupiters,7.57,2005
2021,HD 132406 b,231,6.2 Jupiters,8.45,2007
2022,HD 132563 b,343,1.49 Jupiters,8.928001,2011
2023,HD 133131 A b,168,1.42 Jupiters,7.66,2016
2024,HD 133131 A c,168,0.42 Jupiters,7.66,2016
2025,HD 133131 B b,167,2.5 Jupiters,8.413,2016
2026,HD 134060 b,78,10.1 Earths,6.29,2019
2027,HD 134060 c,78,29.29 Earths,6.29,2019
2028,HD 134987 b,85,1.61 Jupiters,6.47,1999
2029,HD 134987 c,85,0.82 Jupiters,6.47,2009
2030,HD 135872 b,269,5.489 Jupiters,7.28103,2022
2031,HD 136118 b,168,13.102 Jupiters,6.9456,2022
2032,HD 136352 b,48,4.72 Earths,5.655,2019
2033,HD 136352 c,48,11.24 Earths,5.655,2019
2034,HD 136352 d,48,8.82 Earths,5.655,2019
2035,HD 136418 b,343,2.14 Jupiters,7.849,2009
2036,HD 136925 b,156,0.84 Jupiters,7.91433,2021
2037,HD 13724 c,142,0.16 Jupiters,7.89,2022
2038,HD 137388 b,132,0.2 Jupiters,8.71,2011
2039,HD 137496 b,507,4.04 Earths,9.899,2021
2040,HD 137496 c,507,7.66 Jupiters,9.899,2021
2041,HD 13808 b,92,11.2 Earths,8.36,2021
2042,HD 13808 c,92,9.96 Earths,8.36,2021
2043,HD 13908 b,259,0.865 Jupiters,7.52,2013
2044,HD 13908 c,259,5.13 Jupiters,7.52,2013
2045,HD 13931 b,155,2.8 Jupiters,7.61,2009
2046,HD 139357 b,366,19.871 Jupiters,5.97272,2008
